x1,x2,x3,x4,x5,x6,ensemble_ei,ensemble_mu_mean_model,ensemble_sigma_mean_model,ensemble_mu_std_model,ensemble_mu_mean_original_approx
0.005000412464141846,0.9536890899762511,0.2835329119116068,0.0421324772760272,0.4296626839786768,0.9373894780874252,2.775316466080141e-05,0.5566415731934474,0.24442862502126642,0.3832848166308963,0.5566415731934474
0.05278223007917404,0.3856728281825781,0.1332568759098649,0.026906831189990044,0.012880139984190464,0.9165980750694871,2.4418358558881014e-05,0.559350320998619,0.28943981212913084,0.2883999186860169,0.559350320998619
0.020912672393023968,0.3724805200472474,0.9020491372793913,0.009890580549836159,0.11259843781590462,0.9503907766193151,2.3033831158303222e-05,0.6581955943251817,0.2706390528890339,0.30711988453458733,0.6581955943251817
0.031903413124382496,0.9649888481944799,0.8063288517296314,0.02697706874459982,0.4675549101084471,0.8731704233214259,2.2498839370199092e-05,0.4801817238091834,0.257878206341891,0.3320662372727737,0.4801817238091834
0.025097626261413097,0.4561029961332679,0.5521865300834179,0.009368115104734898,0.05827778950333595,0.9355033049359918,2.2437290044854554e-05,0.581866294180071,0.27828577924864883,0.3037441723557386,0.581866294180071
0.0735890967771411,0.40478813368827105,0.8248969204723835,0.03207056503742933,0.010326826013624668,0.9453756874427199,2.2149635784605668e-05,0.5525434892147933,0.2864889861004249,0.28197163706406847,0.5525434892147933
0.03809954319149256,0.9970179311931133,0.15483332891017199,0.015010147355496883,0.4269220242276788,0.4125226577743888,2.181574125857387e-05,0.4340219624237022,0.28257377424427255,0.28715895723658197,0.4340219624237022
0.006473002955317497,0.4943942939862609,0.1612337240949273,0.07542934827506542,0.10188085120171309,0.9396988311782479,2.1483470588839056e-05,0.6574297534350425,0.26508316409708466,0.3038205528141861,0.6574297534350425
0.19058149680495262,0.4365803888067603,0.3961433498188853,0.0030571864917874336,0.022951980121433735,0.995072272606194,2.1139059417698306e-05,0.5321842927689289,0.29799178996443587,0.26309217471298596,0.5321842927689289
0.0007010698318481445,0.42811074294149876,0.28116340190172195,0.04297761246562004,0.1366340108215809,0.944905742071569,2.0515254419726903e-05,0.7180513435501042,0.2570276035920786,0.3249452268488595,0.7180513435501042
