x1,x2,ensemble_ei,ensemble_mu_mean_model,ensemble_sigma_mean_model,ensemble_mu_std_model,ensemble_mu_mean_original_approx
0.8842365248128772,0.8689327454194427,0.06096034723149958,-0.03839338464274161,0.19507164411384995,0.0721369510148154,-3.8274669881103516e-05
0.8810639111325145,0.8678607139736414,0.06267701678137308,-0.038603960370740535,0.19962263246201498,0.0722268796775353,-3.848469848230462e-05
0.8799343965947628,0.8731214981526136,0.06438384752095007,-0.038890508538261453,0.2042815257393276,0.07170736093256384,-3.877050487108005e-05
0.8787787379696965,0.8700912296772003,0.06645500006459452,-0.03896426353595864,0.20956217262551796,0.07155188491058573,-3.884406945560818e-05
0.8850606568157673,0.8744295267388225,0.05981367711376457,-0.039025981497818066,0.1929630814108545,0.07214686195591608,-3.890562824266941e-05
0.887322430498898,0.8706084759905934,0.06459319900645603,-0.039278928296246296,0.2052568813719861,0.07162012158543009,-3.915792422504202e-05
0.8862089402973652,0.8665744010359049,0.060319223574816644,-0.039288907382582734,0.19450661478520065,0.07255727570663624,-3.91678776870873e-05
0.3148557748645544,0.8701278045773506,0.06312237904274229,-0.03953821081825746,0.20141841299596625,0.07827675992384157,-3.9416542230046145e-05
0.7336155045777559,0.8694133013486862,0.06252132966880576,-0.039668034320693,0.19993105795792956,0.07539756014448569,-3.954603400138858e-05
0.8791295550763607,0.8653821414336562,0.061105861721623064,-0.03967001823576066,0.19693188809679632,0.07272599042690826,-3.954801285222855e-05
0.3137877965345979,0.8726853989064693,0.062296631391491414,-0.03982032653299206,0.19969756897184318,0.07817755073689223,-3.9697937919183796e-05
0.7304725171998143,0.8719656206667423,0.0598217863714418,-0.03989459810909468,0.193422706557154,0.07575521660312516,-3.977202046124813e-05
0.8758794236928225,0.8714400418102741,0.06873479193027246,-0.03995749506246756,0.21647021433788083,0.07125879484370225,-3.983475750251958e-05
0.3179229265078902,0.8670550426468253,0.059841012774517255,-0.039995047993094196,0.19370559361868353,0.07879337285908472,-3.987221503196778e-05
0.8823256622999907,0.8773883590474725,0.05538365501204865,-0.04002545018172244,0.18301855652622337,0.07295031228720268,-3.9902540026674066e-05
0.3171180849894881,0.8749101962894201,0.05860732914638993,-0.04009309180909487,0.19073897651053925,0.07857170108038629,-3.997001003815745e-05
0.8773629069328308,0.8752262694761157,0.06423748637578106,-0.04018522368665242,0.20545405648288922,0.071827241088202,-4.0061908459017466e-05
0.31983377784490585,0.8684520740061998,0.059860069297360215,-0.04019128917490176,0.19402776634674357,0.07825780986315317,-4.006795858960259e-05
0.7354816095903516,0.8677906636148691,0.06329609933412683,-0.04021255818083043,0.20251305808645786,0.07537264757082957,-4.00891737545901e-05
0.3117221659049392,0.8699302691966295,0.06384661551456537,-0.04031032800081885,0.2041865209157504,0.07797653574475895,-4.0186696310827185e-05
0.7293240390717983,0.8672416750341654,0.05909285675734683,-0.04037133309754938,0.19205783785364447,0.0765311101506962,-4.0247547317815766e-05
