x1,x2,x3,x4,x5,ensemble_ei,ensemble_mu_mean_model,ensemble_sigma_mean_model,ensemble_mu_std_model,ensemble_mu_mean_original_approx
0.5012293169274926,0.24820367991924286,0.881750631146133,0.9932182803750038,0.17771856300532818,0.033165927513303335,-0.5387417306876364,0.2253658033966463,0.31373559219762565,-0.5387417306876364
0.5631101103499532,0.32610027864575386,0.7443856811150908,0.9695021454244852,0.16840389277786016,0.030251169721971487,-0.464764303386771,0.178778121886475,0.2786393340767602,-0.464764303386771
0.42134544625878334,0.29252611845731735,0.817108784802258,0.9626591876149178,0.15680923406034708,0.02897667383949346,-0.48053486495891845,0.17573167134627662,0.3053473895932831,-0.48053486495891845
0.5550762480124831,0.22689643036574125,0.6241886131465435,0.9832974914461374,0.20151424314826727,0.028801372363899423,-0.5288755363604146,0.2222154553317932,0.25395786526098335,-0.5288755363604146
0.4944811314344406,0.272115227766335,0.7161959782242775,0.9907129863277078,0.13163550663739443,0.028765554001385238,-0.4337334537621074,0.15071089798102377,0.2826205145750722,-0.4337334537621074
0.5509049473330379,0.2633683541789651,0.9063192494213581,0.9122449681162834,0.1595244323834777,0.02872311416019364,-0.5224148337112211,0.20310262583538488,0.31773846286947127,-0.5224148337112211
0.48003911320120096,0.0917102750390768,0.8921745931729674,0.9871519738808274,0.1666544210165739,0.028395655375369356,-0.6307076155951389,0.25090142742507876,0.319741175206592,-0.6307076155951389
0.396799148991704,0.3105064211413264,0.6850386504083872,0.9513279739767313,0.21405405551195145,0.0281289142758035,-0.5356751108414027,0.21171463597448484,0.2843237389352105,-0.5356751108414027
0.5161909833550453,0.427143226377666,0.6973798088729382,0.9976986348628998,0.1499933497980237,0.027866529618687286,-0.44997609347221407,0.16448882926672956,0.27812870401377465,-0.44997609347221407
0.43312428519129753,0.16150473896414042,0.908004354685545,0.984094294719398,0.15552804246544838,0.027767360337571555,-0.5866601076177741,0.23280194816202424,0.3196251424449831,-0.5866601076177741
0.46050706319510937,0.13885982986539602,0.9392828326672316,0.9608305469155312,0.19015967193990946,0.027567422655871743,-0.6450356657261038,0.26183225812720823,0.3155642284543275,-0.6450356657261038
0.5127249853685498,0.27715679444372654,0.5877105100080371,0.9236152861267328,0.2118844147771597,0.02745653247785719,-0.49619832037618106,0.18841977037071714,0.2723325331449565,-0.49619832037618106
0.36701455526053905,0.30379217211157084,0.9977770326659083,0.996069242246449,0.18161442875862122,0.027383041845915876,-0.6255632395103791,0.2620535124409992,0.3283091508579931,-0.6255632395103791
0.3271065279841423,0.2826379705220461,0.5043780319392681,0.9805380767211318,0.1898013213649392,0.027196466138922442,-0.5506126863357634,0.23270704794373218,0.246498191605462,-0.5506126863357634
0.4903441406786442,0.23755922075361013,0.7523005157709122,0.9362619696184993,0.23025735933333635,0.0269318130007334,-0.5818790866682949,0.22402926697014777,0.30364983438936394,-0.5818790866682949
0.2841749880462885,0.2599940858781338,0.5980342011898756,0.9573047272861004,0.15588686987757683,0.026759503639786554,-0.5425096844925192,0.2202930013268799,0.2717235552734658,-0.5425096844925192
0.483064703643322,0.14874207600951195,0.5547550329938531,0.9375316146761179,0.18076828867197037,0.026463601837827845,-0.5259360329297822,0.195492540277701,0.25170723375004544,-0.5259360329297822
0.44091381691396236,0.25083847902715206,0.7857688283547759,0.9703017501160502,0.24747109785676003,0.026440265573145817,-0.6285850785924554,0.24527622287604625,0.3236792256210178,-0.6285850785924554
0.49066502321511507,0.3006418654695153,0.6127792131155729,0.9712665276601911,0.2616331623867154,0.026244300042595925,-0.5930544486570654,0.22876674514408873,0.33832991448925276,-0.5930544486570654
0.47635976690799,0.4297434501349926,0.5768408318981528,0.9317091358825564,0.19496375881135464,0.026104657211615177,-0.47619038432333527,0.17857111218286234,0.25610908172651375,-0.47619038432333527
0.29400589503347874,0.32814917527139187,0.48720382899045944,0.9924047403037548,0.15902544651180506,0.025978756604816945,-0.5375371993245309,0.22111176759478904,0.2613960197699078,-0.5375371993245309
0.42944877594709396,0.31301345210522413,0.6239721663296223,0.9135147342458367,0.23657749220728874,0.025786981864306852,-0.5528315378768487,0.2041307849094269,0.3095558606204269,-0.5528315378768487
0.4557226588949561,0.07382152695208788,0.601886160671711,0.9738627774640918,0.20412090327590704,0.02574715325040184,-0.6393480548580488,0.24318151628919538,0.27363894897817614,-0.6393480548580488
0.45237511582672596,0.22386234626173973,0.7457046350464225,0.9153472492471337,0.14103294536471367,0.025708189984439196,-0.45829900492804165,0.15383524863750264,0.2813773075026517,-0.45829900492804165
0.5680854879319668,0.38310099951922894,0.8318166444078088,0.9551795357838273,0.18731009308248758,0.025661110279281384,-0.5311303792249267,0.20287130327356323,0.2903946590252416,-0.5311303792249267
0.4888205900788307,0.2603014353662729,0.8454753160476685,0.9083047602325678,0.10010756645351648,0.02562248687925252,-0.48919265711515136,0.17320125059986854,0.29353100016322503,-0.48919265711515136
0.5042938888072968,0.058164605870842934,0.5463185356929898,0.9490414960309863,0.16238398104906082,0.02551027274281172,-0.5818694414052752,0.19884975344764605,0.28595821022122836,-0.5818694414052752
0.46770263742655516,0.4203499620780349,0.9291294068098068,0.9199000978842378,0.1836202358826995,0.025501403451343517,-0.5560482484123186,0.21013036567417817,0.3237412510344772,-0.5560482484123186
0.5435339352115989,0.35033037699759007,0.6507282601669431,0.961489544250071,0.23587644286453724,0.02534388388028673,-0.5531633790221278,0.2100055084364092,0.30683843783501896,-0.5531633790221278
0.5211925888434052,0.36012105736881495,0.8472687844187021,0.9526177672669291,0.13493342977017164,0.02531049650157472,-0.4600667444109498,0.14870036180615073,0.3205742708301719,-0.4600667444109498
0.46464032866060734,0.3553109737113118,0.530190235003829,0.9054182264953852,0.1716111758723855,0.02511626678474077,-0.411883348024632,0.13556801547258965,0.2456947624261258,-0.411883348024632
0.24459563754498959,0.3826158354058862,0.593858695589006,0.9886033395305276,0.18193956837058067,0.025055074576465924,-0.6023324648011349,0.2493118242092664,0.27841641624856883,-0.6023324648011349
0.3751940783113241,0.32306340243667364,0.5581906167790294,0.9736176207661629,0.1031907731667161,0.0249548206001842,-0.46676479956339534,0.17345845562282136,0.23345293520928778,-0.46676479956339534
0.3775759432464838,0.17492647655308247,0.5859719989821315,0.99254544172436,0.22351401019841433,0.024859808972370123,-0.6302517901426122,0.25585962592840217,0.2648569311893069,-0.6302517901426122
0.336507435888052,0.33428808860480785,0.6275300281122327,0.9441175954416394,0.11011284589767456,0.0247750326634017,-0.48479533036777994,0.1801396350850487,0.254860856244611,-0.48479533036777994
0.43938943184912205,0.24324419628828764,0.8195793097838759,0.997280502691865,0.1095089390873909,0.02471516424834443,-0.5074292907008726,0.18199347752234032,0.2959199409233734,-0.5074292907008726
0.4806867726147175,0.34521906170994043,0.5894124070182443,0.9654907016083598,0.051091644912958145,0.0246959141767827,-0.4998233199329622,0.15038351240340245,0.24607011932059422,-0.4998233199329622
0.5267625311389565,0.35636415146291256,0.7180037368088961,0.9014772698283195,0.10388972517102957,0.02464574941523208,-0.42777564683318325,0.1350777909378399,0.26222464238841797,-0.42777564683318325
0.4716073088347912,0.37271191738545895,0.9757418567314744,0.8835994526743889,0.2071254551410675,0.024605078089749367,-0.6106374838150547,0.22957676926634882,0.33471783008100753,-0.6106374838150547
0.40936534106731415,0.20158411748707294,0.6518602641299367,0.8916219267994165,0.20075024757534266,0.02457021316527305,-0.551587050371234,0.2140131919671886,0.25009484054332193,-0.551587050371234
0.5407255422323942,0.4092849791049957,0.8006553826853633,0.9788171220570803,0.22090813890099525,0.024503192270918107,-0.576774565347076,0.22124769700456806,0.301701464992823,-0.576774565347076
0.5181211223825812,0.3173193344846368,0.6386891352012753,0.8732101526111364,0.18357577733695507,0.02442322839621172,-0.4390584676932365,0.15001412713560033,0.2527723339970752,-0.4390584676932365
0.40545984264463186,0.029007318429648876,0.6989905424416065,0.9259694768115878,0.16167918406426907,0.024380765872639754,-0.6381031658979006,0.22809528401095824,0.2965841401500632,-0.6381031658979006
0.400478383526206,0.21100812498480082,0.8459613043814898,0.8817707523703575,0.1779293417930603,0.024264352374707646,-0.5683952888322363,0.21854720423282598,0.28265382536378575,-0.5683952888322363
0.5295429080724716,0.415329497307539,0.8659510053694248,0.9157844437286258,0.11901174578815699,0.02424886605260422,-0.4901741967833327,0.1685277657592371,0.3133582135127107,-0.4901741967833327
0.5320498598739505,0.12827645242214203,0.8177563222125173,0.8909557638689876,0.15287197567522526,0.024098649002399563,-0.5588101832293275,0.19839371167109246,0.300656409051958,-0.5588101832293275
0.49950645957142115,0.4560690587386489,0.8641585391014814,0.9420272279530764,0.1459630010649562,0.02403444526550362,-0.5037664625921302,0.17526898637237567,0.3185254488394541,-0.5037664625921302
0.544943037442863,0.15571518894284964,0.7439264552667737,0.941594697535038,0.12183983437716961,0.023945414875102794,-0.5140378892220878,0.17971150011870532,0.2751952118260963,-0.5140378892220878
