x1,x2,x3,ensemble_ei,ensemble_mu_mean_model,ensemble_sigma_mean_model,ensemble_mu_std_model,ensemble_mu_mean_original_approx
0.8999096872285008,0.005398008041083813,0.668846532702446,3.31779823768999e-10,-0.13837793270300605,0.040638111118857234,0.0354833374897414,-0.13837793270300605
0.9549030866473913,0.011027050204575062,0.6714494731277227,3.3175402550641533e-10,-0.13771338303589759,0.04319599858019277,0.035079076923647964,-0.13771338303589759
0.8566377051174641,0.0034025264903903008,0.6706380099058151,3.316753823965897e-10,-0.13818296277565129,0.04109227645508576,0.035070258535507194,-0.13818296277565129
0.9902206165716052,0.026310734450817108,0.670360803604126,3.3166728241512925e-10,-0.13774058348768123,0.043824282253664665,0.03538394717189353,-0.13774058348768123
0.00675822701305151,0.0024925032630562782,0.6690767277032137,3.315758286819767e-10,-0.13723714460847422,0.042767901642888885,0.03489190432705417,-0.13723714460847422
0.9352401047945023,0.019762298092246056,0.6689661797136068,3.315669341117939e-10,-0.1381885467862456,0.04251272922488832,0.03556207993632079,-0.1381885467862456
0.9428828526288271,0.002095933072268963,0.6665400499477983,3.314807026995082e-10,-0.1385666431638586,0.03897571344519301,0.03590989389075612,-0.1385666431638586
0.9703881284222007,0.019160998985171318,0.6673969468101859,3.3145131114644004e-10,-0.13833144309154397,0.041737926509854334,0.035883727576017335,-0.13833144309154397
0.8685432523488998,0.009842646308243275,0.6676128199324012,3.313010924971483e-10,-0.1386967100883294,0.04041572153199259,0.0357027570385439,-0.1386967100883294
0.7865052064880729,0.013390799053013325,0.6697304751724005,3.312072018671352e-10,-0.13858756194788724,0.04166283693645296,0.03528228197881734,-0.13858756194788724
0.076874990016222,0.011965869925916195,0.670242715626955,3.3119348402875134e-10,-0.13727777621178952,0.044024502959889994,0.03483350364636257,-0.13727777621178952
0.6781906010583043,0.0013675754889845848,0.6709423884749413,3.311720157363024e-10,-0.1385876298232808,0.039746652095637054,0.035160349612030545,-0.1385876298232808
0.8213962102308869,0.01831216923892498,0.6712373550981283,3.310730898308469e-10,-0.13815877912293806,0.0431555312456033,0.03499007675583366,-0.13815877912293806
0.8771887756884098,0.011688349768519402,0.6727385800331831,3.31054191818847e-10,-0.13771707265641525,0.04360780019209489,0.034729947122089655,-0.13771707265641525
0.9485324528068304,0.04348043166100979,0.6693642437458038,3.3103466335230724e-10,-0.13819089799636544,0.04263082165455872,0.03577644657787698,-0.13819089799636544
0.8780513824895024,0.033491142094135284,0.6700276490300894,3.3100126803193814e-10,-0.13820345928176592,0.043154280991149284,0.03538656693244212,-0.13820345928176592
0.15792835131287575,0.004650885239243507,0.6719274763017893,3.3100016636867037e-10,-0.13719854514039348,0.04350257215773725,0.03460177675549474,-0.13719854514039348
0.03395785577595234,0.01876441016793251,0.668705228716135,3.3099676900056603e-10,-0.13736678819514667,0.04409275783028379,0.03504749133797157,-0.13736678819514667
0.7242136588320136,0.001785922795534134,0.6723388284444809,3.309737122412606e-10,-0.13824503239214742,0.04089193728787484,0.034802599694928535,-0.13824503239214742
0.23666434548795223,0.004339584149420261,0.6713860500603914,3.3093846589011813e-10,-0.13749909956912842,0.04283045285002923,0.03479027589184368,-0.13749909956912842
0.7481857743114233,0.015301265753805637,0.6684491317719221,3.3092185856971693e-10,-0.13891734129905506,0.040850239227296414,0.03556672122697353,-0.13891734129905506
0.028654253110289574,0.012643527239561081,0.6729966662824154,3.309028687519672e-10,-0.13667171112937695,0.045630439272797085,0.03424722163738342,-0.13667171112937695
0.29015286173671484,0.006274868734180927,0.6707150582224131,3.3088023356974435e-10,-0.13777406114100946,0.0425430430919028,0.034986019090151935,-0.13777406114100946
0.565201211720705,0.0074252774938941,0.6692739352583885,3.308494668525799e-10,-0.13881490072603073,0.04051736531760814,0.03554546880498712,-0.13881490072603073
0.46648537181317806,0.0005496563389897346,0.6685268525034189,3.3084294782515727e-10,-0.13858562059279145,0.03974136803322709,0.03549957275310167,-0.13858562059279145
0.08878077566623688,0.005062171258032322,0.6672861827537417,3.3079821429213155e-10,-0.13775945173225915,0.04159648698360188,0.035364103987069094,-0.13775945173225915
0.5103451451286674,0.009124265052378178,0.670045105740428,3.307798131616999e-10,-0.13852454847461057,0.04156446109602045,0.03534573564150235,-0.13852454847461057
0.3450246639549732,0.008427764289081097,0.6696530245244503,3.3077912229692503e-10,-0.1381119359572326,0.04205300868033369,0.03524538381375791,-0.1381119359572326
0.9121847087517381,0.02564848493784666,0.6728554144501686,3.3077645633385934e-10,-0.1375227908743816,0.0447767523779931,0.034811470148058486,-0.1375227908743816
0.7763206614181399,0.018015977926552296,0.6720382403582335,3.307645464849189e-10,-0.13815046555833616,0.04332322634681171,0.034842978275226186,-0.13815046555833616
0.8668685741722584,0.035856202244758606,0.6682361718267202,3.307545666331835e-10,-0.13856963506106104,0.042028493786077245,0.035736336331027525,-0.13856963506106104
0.8884921753779054,0.012606819160282612,0.6660120775923133,3.307389241555979e-10,-0.13886415750402203,0.03987216494735929,0.036023496676179365,-0.13886415750402203
0.6429209858179092,0.016468511894345284,0.6708103250712156,3.307155459324781e-10,-0.13862055100494458,0.04201323380612867,0.03527909970105296,-0.13862055100494458
0.9837739272043109,0.059805828146636486,0.6685130801051855,3.306993559079713e-10,-0.13798711249208923,0.04128748959458066,0.035874182601825344,-0.13798711249208923
0.8113926108926535,0.0036977604031562805,0.673620842397213,3.306830898814732e-10,-0.13774851865353313,0.042505723085518116,0.03446504879019346,-0.13774851865353313
0.18168572802096605,0.010483658872544765,0.6680058725178242,3.3066981054838015e-10,-0.13791542227994474,0.04216864430496552,0.0353762420561785,-0.13791542227994474
0.9891291279345751,0.05005915276706219,0.6724044606089592,3.3062697099552683e-10,-0.13753156289577162,0.04375534370169631,0.035331006256094664,-0.13753156289577162
0.20943586062639952,0.021278496831655502,0.6705195941030979,3.306211909831068e-10,-0.1375339842056994,0.044281395002888614,0.034949665853112946,-0.1375339842056994
0.15444056689739227,0.02639635093510151,0.6698411721736193,3.3060166681551767e-10,-0.13749567472454777,0.044354967247662004,0.03502723125783297,-0.13749567472454777
0.0277926167473197,0.036384278908371925,0.6717522479593754,3.3059179235117735e-10,-0.1369032846946553,0.04583318181918696,0.0345811138403538,-0.1369032846946553
0.7129290206357837,0.029360737651586533,0.6695501580834389,3.3057377773264377e-10,-0.1387624118607137,0.041983303158708664,0.03545802553516893,-0.1387624118607137
0.9826671797782183,0.020073805935680866,0.674283666536212,3.305719955973852e-10,-0.1370084290772906,0.045564508909218884,0.034568047298089696,-0.1370084290772906
