x1,x2,x3,x4,x5,x6,x7,x8,ensemble_ei,ensemble_mu_mean_model,ensemble_sigma_mean_model,ensemble_mu_std_model,ensemble_mu_mean_original_approx
0.04576935060322285,0.09896490443497896,0.204514822922647,0.049443524330854416,0.790036647580564,0.43744755536317825,0.05789185967296362,0.7650576494634151,0.016961405297207074,9.84636878154603,0.08452028809822329,0.04780025278021261,9.84636878154603
0.025037149898707867,0.1968715451657772,0.1718807201832533,0.01721028331667185,0.9063329733908176,0.12438368890434504,0.11260559968650341,0.424059858545661,0.029399816252425638,9.845304563734091,0.11789875987238072,0.06121514208066416,9.845304563734091
0.029360403306782246,0.032550727017223835,0.2081875205039978,0.06986691150814295,0.8797732274979353,0.7469080444425344,0.16018560994416475,0.5267262971028686,0.02043352264457339,9.843489183410028,0.09598390694550765,0.04971988427435244,9.843489183410028
0.10900149960070848,0.17871455661952496,0.13009066320955753,0.03412457648664713,0.997172525152564,0.5812748773023486,0.13107827585190535,0.845265026204288,0.016484265425642613,9.841543053568365,0.08735688073017321,0.040478839673907745,9.841543053568365
0.07508906722068787,0.0013339845463633537,0.1907686833292246,0.028391205705702305,0.9010593416169286,0.13944263756275177,0.03391299210488796,0.9144598543643951,0.03249175241897532,9.83956224038427,0.13107220230157762,0.06744190405797547,9.83956224038427
0.057469939813017845,0.12477852497249842,0.24066112749278545,0.04539696220308542,0.9449473610147834,0.6588660124689341,0.21074518095701933,0.3709476413205266,0.016864628028798713,9.8352688084017,0.09332955347266385,0.05109227091515273,9.8352688084017
0.13516267575323582,0.15511903166770935,0.15167662501335144,0.011122431606054306,0.7293725460767746,0.19765066634863615,0.09450307302176952,0.4659829093143344,0.020734740619742866,9.83491930808599,0.10489766527011049,0.057566694831254345,9.83491930808599
0.08680500462651253,0.027157983742654324,0.22300467174500227,0.0017673633992671967,0.8651746334508061,0.8941251058131456,0.20141415484249592,0.46567864809185266,0.019432484641810986,9.832864292656566,0.10301539173189166,0.04952090106684516,9.832864292656566
0.12070217076689005,0.16950246132910252,0.15840898733586073,0.06071599945425987,0.7678444590419531,0.32656189147382975,0.1042364751920104,0.27075124718248844,0.020516217801909,9.831349980366218,0.10869690446714805,0.055478872353171775,9.831349980366218
0.10173760633915663,0.09355439897626638,0.2188420183956623,0.11415550205856562,0.9628155045211315,0.20380685850977898,0.0795295462012291,0.19622700847685337,0.022376743890910048,9.825572772633265,0.11679254357879584,0.0625110282101826,9.825572772633265
0.07960076536983252,0.03731089923530817,0.10073125082999468,0.019254157319664955,0.6093952376395464,0.5320614613592625,0.10716059524565935,0.2981973383575678,0.028862509272638812,9.822252545265904,0.13923893605716894,0.06386249351644768,9.822252545265904
0.05050974804908037,0.06469119247049093,0.11432884633541107,0.058611332438886166,0.6897787898778915,0.7675054930150509,0.1135619767010212,0.3968269135802984,0.022353128906317667,9.821153715444263,0.12127021861144696,0.05486818222385943,9.821153715444263
0.056395960971713066,0.08111628517508507,0.2054256722331047,0.1346728280186653,0.6843891898170114,0.19115780666470528,0.1437854990363121,0.7265097666531801,0.012799114658828414,9.818775306986439,0.0944054816086984,0.048498343621295174,9.818775306986439
