x1,x2,ensemble_ei,ensemble_mu_mean_model,ensemble_sigma_mean_model,ensemble_mu_std_model,ensemble_mu_mean_original_approx
0.7056037932634354,0.12013143301010132,0.0019727980632972698,0.6988172740964828,0.021962155496849337,0.10780531329731798,0.6988172740964828
0.7053091069683433,0.12722861301153898,0.0029329499402153975,0.6987392825837406,0.02456168999565578,0.10761537915552921,0.6987392825837406
0.7046338766813278,0.11494567338377237,0.004804257127033198,0.6986671402131251,0.028978077322503973,0.10754712276396818,0.6986671402131251
0.7040039459243417,0.12959381472319365,0.005956527487345091,0.6981496834241553,0.03270951223933474,0.10699830929836997,0.6981496834241553
0.7044221442192793,0.10779494047164917,0.005710443677569069,0.6979739616320709,0.031763595765409214,0.10736542184924668,0.6979739616320709
0.7034422289580107,0.12304577231407166,0.0067047328767090245,0.6979167394548424,0.03468698823404209,0.10682607241935523,0.6979167394548424
0.706365330144763,0.11258071009069681,0.001362983837441306,0.6978108762817351,0.021400178643828986,0.107624396125088,0.6978108762817351
0.7043410977348685,0.13769474811851978,0.005617507795388807,0.6975351425923795,0.03267026315144006,0.10684476605304524,0.6975351425923795
0.7029317077249289,0.11293934937566519,0.008090341488275622,0.6969107972503523,0.0390354045691928,0.10640145738263801,0.6969107972503523
0.7069251397624612,0.13478017039597034,0.0024688812994214187,0.6965466943120292,0.025796662641919287,0.10697777933154175,0.6965466943120292
0.706282346509397,0.142419065348804,0.0020157131473703604,0.6964526730720236,0.02506950630656367,0.10693975579461835,0.6964526730720236
0.7036615908145905,0.09977024141699076,0.007508040631735476,0.6964195403168111,0.03757098986786773,0.10695905984168141,0.6964195403168111
0.7065998911857605,0.1021643579006195,0.0024196783000438866,0.6963682865135336,0.025069445885319844,0.10741080728717448,0.6963682865135336
0.7054073791950941,0.09456684533506632,0.004155828131641088,0.6963194075594791,0.028942465924653518,0.10779472194962071,0.6963194075594791
0.7071613250300288,0.10971680283546448,0.002868647439240101,0.696309805092219,0.02635979088098725,0.10717015557297085,0.696309805092219
0.7049609431996942,0.14762222301214933,0.0045567909535773644,0.6963042408183611,0.03148365279535815,0.10681161200579088,0.6963042408183611
0.7026065224781632,0.13567287847399712,0.008494035703866644,0.6957575627114874,0.04168300432635331,0.1056541404170909,0.6957575627114874
0.7059442708268762,0.15001550503075123,0.0026214975706299252,0.6955833400479687,0.02754243803710746,0.10685013799571207,0.6955833400479687
0.7076085917651653,0.13385799061506987,0.003532388103100909,0.695289820224144,0.029421006340127537,0.10655616237426334,0.695289820224144
0.7027877485379577,0.14181627798825502,0.008384968604780186,0.6952666672388678,0.0419879860725446,0.1056115798028476,0.6952666672388678
0.7042717458680272,0.08823277521878481,0.006733816465285017,0.6951739027155223,0.036129657376436496,0.10780579891089201,0.6951739027155223
0.7017849450930953,0.1275871293619275,0.009273715029790934,0.6948940624784121,0.04441504952001243,0.10514681105566247,0.6948940624784121
0.7073091585189104,0.14333933778107166,0.0034608566095003872,0.6947116006342694,0.030173323087093144,0.10638923740797405,0.6947116006342694
0.7022202983498573,0.10200409404933453,0.009585607591807077,0.6945775876319239,0.04490658240982313,0.10569134152956147,0.6945775876319239
0.7052568616345525,0.08294053003191948,0.004913263004433999,0.6944696983812665,0.03178601270590048,0.1085045218045732,0.6944696983812665
0.7046885062009096,0.15924922935664654,0.0052663995605160005,0.69426250063648,0.035358505984577196,0.106718301808306,0.69426250063648
0.7083129156380892,0.12631973810493946,0.004097770246608064,0.6940947491522241,0.03145548802311786,0.106252091314895,0.6940947491522241
0.7069949088618159,0.09047596622258425,0.0034309308702154223,0.6939884051922226,0.029208253877770502,0.10747492860067795,0.6939884051922226
0.7079986901953816,0.10502635780721903,0.004304145917009823,0.6938875779255604,0.0319031145503864,0.10638235036811326,0.6938875779255604
0.7012556716799736,0.12102402560412884,0.00978965406669066,0.6938843803721162,0.046636628395201954,0.10471084931828664,0.6938843803721162
0.7033459534868598,0.1556458491832018,0.007668667647888694,0.6938538822452831,0.04170553556921464,0.10592855993405563,0.6938538822452831
0.7040567276999354,0.08014808222651482,0.007319782442105134,0.6936853883789594,0.038442972217163966,0.10836446466339948,0.6936853883789594
0.7025538040325046,0.09013270866125822,0.009473891574039573,0.6934921726910893,0.04506129329168032,0.10642834913048647,0.6934921726910893
0.7075388263911009,0.09346191212534904,0.004047141884435012,0.6933653729930126,0.03141188294695183,0.10691653376338248,0.6933653729930126
0.7063111178576946,0.1620414387434721,0.0028890054045172617,0.6931194537419054,0.030682094604010945,0.10679772836223718,0.6931194537419054
0.7059987811371684,0.07737638521939516,0.003794770677933208,0.6930893945329346,0.02984927867554388,0.10898080202772469,0.6930893945329346
0.7019441928714514,0.0939641809090972,0.010152466822405243,0.692932626131123,0.047647871291391974,0.10562122987245752,0.692932626131123
0.7081497935578227,0.0974421501159668,0.004719311336173404,0.6924506399726736,0.03398254047315501,0.1062134246270733,0.6924506399726736
0.7009590175002813,0.10797036997973919,0.010728246965025341,0.6924225514184367,0.0502607236464626,0.10428715086060208,0.6924225514184367
0.7029991485178471,0.16113358736038208,0.008195181499880844,0.6924106005045243,0.04446720844144015,0.1057219344351799,0.6924106005045243
0.7056717146188021,0.16957794781774282,0.0035603186152271225,0.6922246109199942,0.0331937468161696,0.107086456916795,0.6922246109199942
0.7089642705395818,0.11725803557783365,0.004881112005803586,0.6921098210518051,0.034824071489235546,0.10560876543097758,0.6921098210518051
0.7016571247950196,0.1498553566634655,0.009902989105195263,0.6918862757094145,0.04930096595802592,0.10436243592189749,0.6918862757094145
0.703374844044447,0.1673349952325225,0.007594509344489749,0.6917637792302306,0.04357909770399829,0.10615723115431415,0.6917637792302306
0.7008168762549758,0.13678691908717155,0.010547057836871623,0.6917142705328131,0.05100807745312301,0.10369417921899046,0.6917142705328131
0.7072155335918069,0.16308572050184011,0.0037987723925138133,0.6915481634064943,0.034351508511450086,0.10632693625170175,0.6915481634064943
0.703291860409081,0.0720512168481946,0.008730523780410716,0.6915419219768973,0.04346475560002143,0.10877207055463436,0.6915419219768973
0.7062148423865438,0.06976376101374626,0.0039035860955404754,0.6915063470987595,0.030842953571502556,0.10980742346164542,0.6915063470987595
0.7037314791232347,0.17241002433001995,0.006987530430415623,0.6911867302781505,0.042600308151436235,0.10655930319914053,0.6911867302781505
0.7050289837643504,0.06401128694415092,0.005924117041422373,0.6911426316700073,0.03555268610763505,0.11073251163775266,0.6911426316700073
0.7002856954932213,0.11460240837186575,0.010991335751426086,0.6911190453588639,0.052392505254938194,0.10352536885494755,0.6911190453588639
0.7018542336300015,0.08203256316483021,0.010475932218170123,0.690873847439395,0.04973820242779707,0.10633177525951225,0.690873847439395
0.7053379081189632,0.1781627368181944,0.0041829413526417135,0.6906839602589088,0.0361453806509604,0.10737237714990067,0.6906839602589088
0.7091350285336375,0.10687276069074869,0.005518090080788161,0.6906656327522447,0.03754359809928756,0.10511018959762115,0.6906656327522447
0.7028417782858014,0.06993916817009449,0.009412769046775443,0.6905641743321432,0.04603181878500491,0.10867213084936649,0.6905641743321432
0.7000086661428213,0.12213782779872417,0.010888250608272981,0.6904961718167907,0.05285108399267375,0.10317357280589054,0.6904961718167907
0.7085589431226254,0.15092628728598356,0.005290902254202438,0.6903808518914627,0.03858498245427326,0.10503381143934463,0.6903808518914627
0.7043700180947781,0.18044911976903677,0.005853325031425308,0.6900943353701385,0.04078152467980067,0.107212552895342,0.6900943353701385
0.7083651572465897,0.08593602944165468,0.00516762566128766,0.6899957411957272,0.03668235143924707,0.10639892789863084,0.6899957411957272
0.7006738567724824,0.14820962119847536,0.010841271855561004,0.6897504750077367,0.05379968445896112,0.10325674460688332,0.6897504750077367
0.700869177468121,0.08859142195433378,0.0113519317988207,0.6896478351161626,0.05378125659457858,0.10468459743981393,0.6896478351161626
0.7015891475602984,0.07796391379088163,0.010817518635438252,0.6896322629388757,0.05154848290143652,0.10643944837738026,0.6896322629388757
0.7092809248715639,0.1405567480251193,0.005828829766341071,0.6896179833116085,0.03999285220735252,0.10446996296733115,0.6896179833116085
0.7044729487970471,0.055738747119903564,0.00713069850377228,0.6895618130525937,0.039115199610664675,0.11189872947362792,0.6895618130525937
0.706770877353847,0.062437504529953,0.004168236854065805,0.6894084457430671,0.03263956101755465,0.11053566271482825,0.6894084457430671
0.7054562168195844,0.05433835927397013,0.005494785309847807,0.6892712886191821,0.03493664041716927,0.11231199706415018,0.6892712886191821
0.6996853882446885,0.12925042677670717,0.011223709158085514,0.6892044757571999,0.05510248738025383,0.10256622796971063,0.6892044757571999
0.7073766589164734,0.06677972245961428,0.00447037983486622,0.6890688319365674,0.03422745378817556,0.10942270985961297,0.6890688319365674
0.7049106750637293,0.18783616553992033,0.004912466030734008,0.688789200518023,0.039622022935311155,0.10773219324877878,0.688789200518023
0.7099341871216893,0.11586594581604004,0.005860985052571901,0.6885209920545584,0.040011928700440354,0.10433001416184089,0.6885209920545584
