x1,x2,x3,x4,x5,x6,ensemble_ei,ensemble_mu_mean_model,ensemble_sigma_mean_model,ensemble_mu_std_model,ensemble_mu_mean_original_approx
0.06613441091030836,0.29728586226701736,0.35646619740873575,0.13747137505561113,0.39694418385624886,0.7386693023145199,0.01263816745757537,0.9655538400569561,0.12787408089979002,0.45460603606286243,0.9655538400569561
0.024813666008412838,0.4183196546509862,0.7242602920159698,0.2559335306286812,0.43449653685092926,0.7300664000213146,0.009550885658857831,0.9489178939527436,0.10582529401118856,0.5047572190426542,0.9489178939527436
4.3973326683044434e-05,0.5527480635792017,0.4472459824755788,0.24953721556812525,0.42688080947846174,0.7429563393816352,0.01148856465904215,0.9487371820867474,0.11692797717364281,0.48880398539002357,0.9487371820867474
0.02155345305800438,0.077432113699615,0.1684164460748434,0.15381494164466858,0.38921916764229536,0.7147094085812569,0.011511780011514124,0.9063476542169896,0.1516597134335143,0.4484910759481584,0.9063476542169896
0.049041129648685455,0.3851376073434949,0.7568450774997473,0.17593449633568525,0.46214214339852333,0.7247702972963452,0.008974903409113923,0.9013521105047962,0.12952935027026669,0.4961306325996421,0.9013521105047962
0.07717161532491446,0.5949516259133816,0.19238408375531435,0.33148966915905476,0.3506501680240035,0.7320436146110296,0.006237667851749839,0.896400833581355,0.13765475253867274,0.4152903837425832,0.896400833581355
0.13325759582221508,0.43010926339775324,0.2682330096140504,0.10730633325874805,0.37367223110049963,0.7527941539883614,0.00880753952766983,0.8942819689328477,0.16322171535316493,0.40163354906377663,0.8942819689328477
0.084370918571949,0.49549325834959745,0.9779012491926551,0.16690004896372557,0.3582620806992054,0.74879399407655,0.010117995737779675,0.8804011315216015,0.16097224578108857,0.45239217685438143,0.8804011315216015
0.04414823651313782,0.2933385828509927,0.18644378054887056,0.3216135911643505,0.3447557780891657,0.7512106010690331,0.006480469327693527,0.879656586205353,0.1618687414459444,0.36427651948349643,0.879656586205353
0.14077070076018572,0.7621419066563249,0.30489376187324524,0.15709870215505362,0.45509341545403004,0.7341486578807235,0.006875433468205587,0.8791707333574101,0.13722714457800958,0.4759059105841391,0.8791707333574101
0.0913524990901351,0.17988138180226088,0.4552577817812562,0.06745302490890026,0.3859236277639866,0.7316477783024311,0.008862114096699814,0.8787465269699507,0.15029155612516243,0.4438333786280493,0.8787465269699507
0.0959192281588912,0.3704589968547225,0.4238951625302434,0.2242497643455863,0.4250154625624418,0.7699280753731728,0.006570530803940647,0.8770698894645024,0.13522575782207677,0.45115119089613304,0.8770698894645024
0.04231478925794363,0.5158459115773439,0.04234602674841881,0.325919920578599,0.4540686225518584,0.7397046443074942,0.007401541898579949,0.8728668591682545,0.1293895464884099,0.492491361909888,0.8728668591682545
0.032759133726358414,0.6222599791362882,0.2723930263891816,0.1473479000851512,0.3910521203652024,0.7741859657689929,0.012597154806290754,0.8640440968862195,0.16052502561628526,0.4568116365435466,0.8640440968862195
0.15830374229699373,0.17192447744309902,0.9910228056833148,0.22992313373833895,0.43566880095750093,0.7355005564168096,0.006602282660725288,0.8635842175256967,0.1460110852517981,0.4626924653119185,0.8635842175256967
0.27714356407523155,0.49668094888329506,0.27124343533068895,0.22545075416564941,0.3809974966570735,0.730443456210196,0.0053503777491878375,0.8545204841394812,0.1316968144586131,0.4474279949020089,0.8545204841394812
0.07064216956496239,0.11253336071968079,0.834429039619863,0.0968664363026619,0.36283624544739723,0.7261483790352941,0.008627529280275482,0.8534192890895157,0.16773911212817097,0.43555010997503163,0.8534192890895157
0.05649185832589865,0.19647893030196428,0.309034526348114,0.08971243165433407,0.30935709550976753,0.7401004768908024,0.005780469586154501,0.8504424821582927,0.1769587120185818,0.3490939546629239,0.8504424821582927
0.18307935632765293,0.7913382360711694,0.2134400913491845,0.2684522829949856,0.4295172896236181,0.7211609464138746,0.004511284211714369,0.8475026022020802,0.13561762662982102,0.4606214654025197,0.8475026022020802
0.138752200640738,0.6291181165724993,0.3819444626569748,0.10257469490170479,0.45246546156704426,0.7407989641651511,0.006851003377317429,0.8470359532174667,0.15437346966869747,0.45440897764907856,0.8470359532174667
0.08872978016734123,0.6662134965881705,0.5638269959017634,0.364565197378397,0.40596053656190634,0.7258098861202598,0.005347532538897758,0.8424089337118527,0.12891306382199158,0.4748186627884304,0.8424089337118527
0.04298749193549156,0.002170158550143242,0.9298401530832052,0.12304306030273438,0.4418213851749897,0.7494908245280385,0.009781092964579201,0.8403315029765246,0.1709543284287559,0.46743306883625935,0.8403315029765246
0.021325807087123394,0.7471111947670579,0.8258106959983706,0.21254057344049215,0.3257025210186839,0.7367550190538168,0.008325673414528605,0.8399662298539199,0.16245590032384022,0.4508221239458376,0.8399662298539199
0.012409824877977371,0.35090204887092113,0.09570296201854944,0.2814403157681227,0.3166823536157608,0.7199130849912763,0.0049868744590829085,0.838174219676072,0.1632967281542526,0.38376096948514243,0.838174219676072
