x1,x2,x3,x4,ensemble_ei,ensemble_mu_mean_model,ensemble_sigma_mean_model,ensemble_mu_std_model,ensemble_mu_mean_original_approx
0.4190534148365259,0.4492113599553704,0.3901703739538789,0.2606736971065402,0.428940543805364,-5.914310764512642,2.165129602217104,2.714123577093336,-5.914310764512642
0.5284031648188829,0.4379253052175045,0.4451506892219186,0.22393109370023012,0.3029321952179358,-5.933973923435149,1.6317888316879448,3.1890489309515346,-5.933973923435149
0.5413377294316888,0.45251424983143806,0.3051262591034174,0.26241311617195606,0.49900827496534383,-5.989859487119256,2.1533956564765235,3.1818300867491853,-5.989859487119256
0.4252679692581296,0.4338395893573761,0.4167951140552759,0.2900686115026474,0.4658830544832441,-6.011974408255335,2.2843020321532723,2.907271455248689,-6.011974408255335
0.4985032705590129,0.4418107196688652,0.301300710067153,0.3104771235957742,0.5968931491328753,-6.017279592138834,2.4390687425170445,3.2865550872260965,-6.017279592138834
0.4605963360518217,0.4504857789725065,0.33001500833779573,0.32408232148736715,0.5722577954398146,-6.040849845936531,2.4992220393136635,3.094503935231643,-6.040849845936531
0.4820851320400834,0.4555057231336832,0.39784091990441084,0.34378873743116856,0.5045170594227748,-6.051723866422975,2.291879879332667,3.1210132914306867,-6.051723866422975
0.4357665041461587,0.41826191172003746,0.3944327747449279,0.22965078987181187,0.44948562728806424,-6.077249773857151,2.2779747167421025,3.0371959723684183,-6.077249773857151
0.5416322946548462,0.4364900095388293,0.3827754417434335,0.17244742065668106,0.3542913810856759,-6.081864879474474,1.851415723903755,3.277474618999626,-6.081864879474474
0.4875155305489898,0.4574229158461094,0.26331457030028105,0.24976962339133024,0.5603246912032234,-6.0902862750588795,2.495363542181673,3.088408184999613,-6.0902862750588795
0.4464966654777527,0.44858787953853607,0.44842049200087786,0.20711327157914639,0.3163170896108802,-6.094987711529101,1.9546541448452848,2.8543551068430113,-6.094987711529101
0.5291762379929423,0.4236131338402629,0.3674959037452936,0.3373345425352454,0.4847417569133027,-6.099167547086975,2.1597403963396324,3.4689605219812343,-6.099167547086975
0.5782296396791935,0.429950837045908,0.3374707670882344,0.23597802594304085,0.2914376714767142,-6.112634189691177,1.721823089070166,3.3031135633047826,-6.112634189691177
0.5144258365035057,0.4594323318451643,0.3478933162987232,0.18033459596335888,0.42477595697878273,-6.112803865360191,2.127722145032338,3.0687124278287747,-6.112803865360191
0.5138568514958024,0.4139316687360406,0.46458209957927465,0.2544313855469227,0.34743047408593547,-6.123442154977079,1.9488837088512057,3.2650551864539796,-6.123442154977079
0.4696325184777379,0.4399289544671774,0.42020377330482006,0.15834061801433563,0.33867902095468333,-6.126769268397261,1.9945938361025801,3.001720215317562,-6.126769268397261
0.4007477546110749,0.4421941125765443,0.3595514763146639,0.22176451608538628,0.37365179392858616,-6.1343553215735325,2.2146925066192935,2.7144831050851526,-6.1343553215735325
0.46027864422649145,0.4344672719016671,0.48282709531486034,0.24217302817851305,0.35614973172616204,-6.138047563922178,2.106242386733841,2.874029266673571,-6.138047563922178
0.414050149731338,0.4759045084938407,0.36941811442375183,0.2757731508463621,0.3965808207585188,-6.171434629483852,2.244639925605392,2.5848540979119314,-6.171434629483852
0.48804708383977413,0.41192039381712675,0.423977255821228,0.31629781518131495,0.48312237844545824,-6.176965900286789,2.2980834040635294,3.386701470427103,-6.176965900286789
0.46882058307528496,0.42561491671949625,0.26738226879388094,0.2793121878057718,0.6079879761502532,-6.178688391891614,2.66079881037289,3.281269298759188,-6.178688391891614
0.44703561160713434,0.43256483878940344,0.36393714509904385,0.3517667166888714,0.5561817422447785,-6.192317546608274,2.5838800219600104,3.187899499695771,-6.192317546608274
0.4888580087572336,0.4773238506168127,0.43875218834728,0.29434195533394814,0.39955172532225064,-6.1950496729357125,2.1110403094066417,2.8646738981373034,-6.1950496729357125
0.3975734682753682,0.4577718274667859,0.32130519952625036,0.28244042955338955,0.4369993024983972,-6.1960130318645374,2.4216775444466343,2.636204310163988,-6.1960130318645374
0.46608742233365774,0.4705875813961029,0.4103359095752239,0.3391969371587038,0.462474294754267,-6.205500844191754,2.3194569940902547,2.963929106856689,-6.205500844191754
0.5034380666911602,0.44382390566170216,0.3408979857340455,0.369657713919878,0.5346384263301662,-6.21506399046709,2.4312756683100645,3.3057389566466067,-6.21506399046709
0.550969434902072,0.43054782319813967,0.27853203658014536,0.29626349452883005,0.489071899988798,-6.219718323448568,2.257591416683559,3.436946898766921,-6.219718323448568
0.5033592702820897,0.4295086832717061,0.47125651128590107,0.1939984243363142,0.31795376464188746,-6.224712325363599,1.919649526180356,3.181310171503601,-6.224712325363599
0.46296563278883696,0.41885505337268114,0.46020603459328413,0.3025592630729079,0.4425023926445657,-6.238572902731417,2.3414274578571344,3.141815450201666,-6.238572902731417
0.5319400653243065,0.47260462678968906,0.45087969582527876,0.27757375594228506,0.3162290021628718,-6.244471082829906,1.886004000511712,2.905581980029444,-6.244471082829906
0.3720575859770179,0.4439662294462323,0.4080304019153118,0.2779132854193449,0.3518646924357222,-6.250796234262362,2.244507027614591,2.517509894701186,-6.250796234262362
0.556169237010181,0.46218093298375607,0.4019497176632285,0.3294127965345979,0.3321993748934031,-6.272402657517469,1.932510191865295,3.116347838591264,-6.272402657517469
0.39134614169597626,0.47694054897874594,0.3807914210483432,0.23790147248655558,0.2793268917686495,-6.288527134563194,2.0445150918551924,2.387234013274969,-6.288527134563194
0.5766536397859454,0.4531075106933713,0.3719078879803419,0.20537397172302008,0.26980704791255794,-6.288727208628853,1.781024007895831,3.162846517830882,-6.288727208628853
0.406603692099452,0.46479314286261797,0.4283549077808857,0.19604550395160913,0.20932945866228916,-6.29112205190404,1.8273024362329275,2.5572047515978777,-6.29112205190404
0.4418584890663624,0.4641960375010967,0.4863463044166565,0.2717120163142681,0.3224422564538162,-6.2986000965456,2.143026464291336,2.5935334259210348,-6.2986000965456
0.49854463525116444,0.4275011783465743,0.3857932360842824,0.12676143180578947,0.3913854092348562,-6.300517285451277,2.1888942070929613,3.2013964790515104,-6.300517285451277
0.5224645975977182,0.4037254871800542,0.3882473139092326,0.32216055132448673,0.4644213991561486,-6.3023253148869545,2.292906336632084,3.527974788996172,-6.3023253148869545
0.5560978297144175,0.4149672472849488,0.2852705903351307,0.23187873046845198,0.4502248895692989,-6.302361144296986,2.25935023840586,3.4689399755056862,-6.302361144296986
0.6009317403659225,0.42915941402316093,0.41232106648385525,0.27378866355866194,0.10318047355472926,-6.322847458926021,1.410556302910358,3.2050517069235736,-6.322847458926021
0.5159505810588598,0.45350584387779236,0.499023150652647,0.28845259454101324,0.31123799302419825,-6.324471100729013,2.000187863743103,2.9342880284061073,-6.324471100729013
0.5656687607988715,0.46871855203062296,0.3183558313176036,0.26600505877286196,0.3917003462163804,-6.327339841899106,2.1396603662472584,3.032256456562118,-6.327339841899106
0.48175957053899765,0.4100067364051938,0.28994300216436386,0.21500466763973236,0.5420295188809716,-6.333672114633162,2.5946593862974487,3.405326583383932,-6.333672114633162
0.5515310307964683,0.4465689454227686,0.40888519771397114,0.14404192846268415,0.2981134943183642,-6.352062643110088,1.9074951431921692,3.1449163661996016,-6.352062643110088
0.5248970557004213,0.4400681331753731,0.2457358567044139,0.31536027882248163,0.561817670469816,-6.352478363249113,2.5757237528150303,3.4338921307147823,-6.352478363249113
0.5233962191268802,0.48121236450970173,0.298911951482296,0.24000734090805054,0.46104312322182184,-6.362808785089081,2.3891229949883344,2.977362237187647,-6.362808785089081
0.43632619082927704,0.4666900662705302,0.29334787651896477,0.33499757945537567,0.5175361161254685,-6.375860685834779,2.6709595121033463,2.947185189171122,-6.375860685834779
0.4794390993192792,0.4057387029752135,0.4727049581706524,0.2642147382721305,0.3849385602743184,-6.3819969136132615,2.310527318039621,3.1788329374464643,-6.3819969136132615
0.41983626317232847,0.43197169713675976,0.2969269622117281,0.1785202482715249,0.4106481363066907,-6.3862684146856825,2.4975514525878295,2.936734658282093,-6.3862684146856825
0.4637696985155344,0.46606658585369587,0.35231419652700424,0.13471246976405382,0.3375665246582674,-6.388739388760662,2.2247426971656252,2.7900106175890995,-6.388739388760662
0.4412497514858842,0.47652837447822094,0.31145789101719856,0.19201584439724684,0.37193065030555544,-6.390666031486156,2.3349458888361507,2.7711170342189306,-6.390666031486156
0.5389453358948231,0.42088162060827017,0.4363868348300457,0.36203053779900074,0.34944574478996443,-6.39831061455954,2.066660385761539,3.4342027760942933,-6.39831061455954
0.4419072465971112,0.4169880924746394,0.3256894601508975,0.1661210712045431,0.4282038583168278,-6.401146972588714,2.5154076434367276,3.0922546409574707,-6.401146972588714
0.5495726587250829,0.4272378096356988,0.39383507426828146,0.3791641127318144,0.3579400151536878,-6.405340078710952,2.0734975528971633,3.412545055328218,-6.405340078710952
0.3610698087140918,0.4595479751005769,0.399386421777308,0.21751165762543678,0.19835950354127505,-6.409172003391306,1.8690377363734059,2.372709617199447,-6.409172003391306
0.49269813299179077,0.44722874090075493,0.4325797036290169,0.3974060621112585,0.42741681578994317,-6.4111441538933365,2.3826809700559317,3.119301955356924,-6.4111441538933365
0.4528964189812541,0.4441177286207676,0.31769080739468336,0.12406030390411615,0.3790197692705074,-6.4223902948075695,2.4149252936921255,2.9133131513170727,-6.4223902948075695
0.5053821336477995,0.43193549755960703,0.35638072714209557,0.10716127697378397,0.4088901008353823,-6.42866263475918,2.330541699534395,3.186179024738871,-6.42866263475918
0.5091774659231305,0.4793256036937237,0.4148719310760498,0.3535680780187249,0.40476029296477023,-6.465092955724417,2.2638485466541276,3.051812104093394,-6.465092955724417
0.4785453863441944,0.48321983963251114,0.3393918490037322,0.1744929300621152,0.37345783674089683,-6.465701971814171,2.3222905132954215,2.8416334948143986,-6.465701971814171
0.5911695808172226,0.4143434092402458,0.34446558356285095,0.30033144168555737,0.31058906551584003,-6.466049181114654,2.0213149546524405,3.3980256266254596,-6.466049181114654
0.48010292183607817,0.4201836148276925,0.41269232891499996,0.11641701217740774,0.35839582897342004,-6.472766610608222,2.2454248055037818,3.1544251551367775,-6.472766610608222
0.3842481840401888,0.4096536822617054,0.3557157330214977,0.2527528526261449,0.43680549058247936,-6.475600547335537,2.6294478899162796,2.8289222336350472,-6.475600547335537
0.5221219258382916,0.46679504588246346,0.3598706144839525,0.38719259947538376,0.43468444749504137,-6.493103397750222,2.3836663678487664,3.1076671302427745,-6.493103397750222
0.38432888966053724,0.4558891160413623,0.45680981036275625,0.186468786559999,0.14647977364461762,-6.498321008440404,1.7746810159383881,2.425330896133265,-6.498321008440404
0.3653420861810446,0.47870838176459074,0.3321030782535672,0.2618370307609439,0.2937404461555346,-6.51700830615271,2.239437674526044,2.330853681244753,-6.51700830615271
0.516237280331552,0.4080011835321784,0.3139443611726165,0.15161164570599794,0.4511200066143192,-6.523735234200595,2.5339175266327825,3.3959230682238752,-6.523735234200595
0.40504222363233566,0.429352106526494,0.2381466282531619,0.24275891669094563,0.4901271806805032,-6.524222841270802,2.7973748775037075,2.9393136946666973,-6.524222841270802
0.5670122969895601,0.47201145719736814,0.3838692819699645,0.19021512009203434,0.27480285221892503,-6.5369420844189765,1.952092198939322,3.000158210923976,-6.5369420844189765
0.48671450559049845,0.4739829022437334,0.32735538575798273,0.3813316849991679,0.49013878036077835,-6.539598286323656,2.5884590332116058,3.0740259150121356,-6.539598286323656
0.3791226502507925,0.42523542791604996,0.3334151366725564,0.18847478087991476,0.3307676055363099,-6.540573006012878,2.419013128831645,2.7480571212787397,-6.540573006012878
0.5767043028026819,0.4358661714941263,0.44073543418198824,0.3578396635130048,0.1926942543115646,-6.543349880763981,1.7865847988444006,3.2477478322567825,-6.543349880763981
0.509338516741991,0.40184231381863356,0.2727718008682132,0.20915902685374022,0.5172684496182537,-6.55996646999087,2.6645018803809086,3.5385036647715986,-6.55996646999087
0.4754675766453147,0.43582234997302294,0.40595496725291014,0.4268499882891774,0.4551989386643823,-6.561407560361167,2.611258065989951,3.076250874377272,-6.561407560361167
0.42534128203988075,0.45108288433402777,0.27078668866306543,0.1456593219190836,0.35440653870098393,-6.5635086562914875,2.513486609865225,2.816467006560997,-6.5635086562914875
0.40103254467248917,0.4271481242030859,0.45280096773058176,0.3429802116006613,0.41550883364028546,-6.564117692029539,2.617400605277083,2.883400932225391,-6.564117692029539
0.38857516925781965,0.4532274892553687,0.23407853115350008,0.27472810726612806,0.43797562792447514,-6.585179270166171,2.7227063611059292,2.7546570933094268,-6.585179270166171
0.4180857539176941,0.45811798702925444,0.5098240692168474,0.2233499502763152,0.21849333922167052,-6.587455673436737,2.0732912808147503,2.4911502928138427,-6.587455673436737
0.5381643967702985,0.4680912271142006,0.2513179397210479,0.20175234228372574,0.4579769919002319,-6.601626465440043,2.522982823774641,3.2042921387701195,-6.601626465440043
0.5331074204295874,0.4558682106435299,0.3897990817204118,0.09913636650890112,0.34306960128986874,-6.609969491655523,2.213948598402625,3.040923079238262,-6.609969491655523
0.5731228534132242,0.43419633619487286,0.24917455669492483,0.19707670900970697,0.3925925922452006,-6.612140041722727,2.3389073300865872,3.4507283661305976,-6.612140041722727
0.6036158679053187,0.41354839503765106,0.4053841782733798,0.213326015509665,0.1560980998436784,-6.612265471768714,1.728257032869471,3.3407456057435296,-6.612265471768714
0.45315128844231367,0.48625608906149864,0.4033408323302865,0.14987321943044662,0.25867758907401933,-6.617118405113198,2.10571132539395,2.659795337897443,-6.617118405113198
0.48865857254713774,0.3998386347666383,0.37382908537983894,0.14187602512538433,0.3958304806503496,-6.6174831569867445,2.5031775109213887,3.297022236686942,-6.6174831569867445
0.4042889215052128,0.492613579146564,0.4343427177518606,0.29853196721524,0.30916457523089325,-6.6200629844685,2.297144410521247,2.506561911771601,-6.6200629844685
0.5436021108180285,0.44019970297813416,0.4277840293943882,0.41373509634286165,0.30946309931966876,-6.623803313636291,2.182682710241785,3.153421545665987,-6.623803313636291
